Program Version:,EnergyPlus, Version 9.4.0-217a24fc09, YMD=2023.03.13 17:07
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,20YO_WICK (01-01:31-12) ** ABERDEEN/DYCE - GBR IWEC Data WMO#=030910

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,35449.15,145.13,145.13
,Net Site Energy,35449.15,145.13,145.13
,Total Source Energy,102653.34,420.27,420.27
,Net Source Energy,102653.34,420.27,420.27


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.250
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,244.26
,Net Conditioned Building Area,244.26
,Unconditioned Building Area,0.00


End Uses

,,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8136.89,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,941.11,0.00,0.00
,Interior Lighting,11579.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,7621.05,5716.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1453.65,22.76
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,19200.89,5716.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,941.11,9590.54,22.76
Note: District heat appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,DHW 14135,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.88,0.00
,,DHW 14144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.95,0.00
,,DHW 14153,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.74,0.00
,,DHW 14175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.67,0.00
,,DHW 14207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.86,0.00
,,DHW 14229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.45,0.00
,,DHW 14247,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,DHW 12212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.64,0.00
,,DHW 12286,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.53,0.00
,,DHW 12306,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.09,0.00
,,DHW 12313,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.06,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
ZoneHVAC:IdealLoadsAirSystem

,,Design Size Maximum Heating Air Flow Rate [m3/s],Design Size Maximum Sensible Heating Capacity [W],Design Size Maximum Cooling Air Flow Rate [m3/s],Design Size Maximum Total Cooling Capacity [W]
,14135 IDEAL LOADS AIR,0.022052,532.14,0.035149,607.99
,14144 IDEAL LOADS AIR,0.007138,169.99,0.026800,437.84
,14153 IDEAL LOADS AIR,0.006271,161.68,0.027338,449.15
,14164 IDEAL LOADS AIR,0.053321,1312.00,0.149317,2668.36
,14175 IDEAL LOADS AIR,0.035864,877.64,0.038319,716.07
,14199 IDEAL LOADS AIR,0.022450,512.39,0.024334,428.05
,14207 IDEAL LOADS AIR,0.009659,222.48,0.005362,98.23
,14218 IDEAL LOADS AIR,0.004462,134.21,0.015489,287.45
,14229 IDEAL LOADS AIR,0.006651,150.56,0.011874,195.43
,14236 IDEAL LOADS AIR,0.015449,330.76,0.013074,237.07
,14247 IDEAL LOADS AIR,0.131611,2520.20,0.070730,1227.95
,12212 IDEAL LOADS AIR,0.005298,140.47,0.013368,228.23
,12219 IDEAL LOADS AIR,0.014911,339.74,0.022315,398.30
,12236 IDEAL LOADS AIR,0.043278,1058.04,0.067802,1231.31
,12286 IDEAL LOADS AIR,0.031896,778.74,0.027675,492.03
,12306 IDEAL LOADS AIR,0.006899,173.73,0.018349,306.74
,12313 IDEAL LOADS AIR,0.017606,438.82,0.043549,731.10
,12344 IDEAL LOADS AIR,0.044030,1075.90,0.073096,1375.07
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


----------------------------------------------------------------------------------------------------
REPORT:,Adaptive Comfort Summary
FOR:,Entire Facility
Time Not Meeting the Adaptive Comfort Models during Occupied Hours

,,ASHRAE55 90% Acceptability Limits [Hours],ASHRAE55 80% Acceptability Limits  [Hours],CEN15251 Category I Acceptability Limits [Hours],CEN15251 Category II Acceptability Limits [Hours],CEN15251 Category III Acceptability Limits [Hours]


----------------------------------------------------------------------------------------------------
REPORT:,Climatic Data Summary
FOR:,Entire Facility
SizingPeriod:DesignDay

,,Maximum Dry Bulb [C],Daily Temperature Range [deltaC],Humidity Value,Humidity Type,Wind Speed [m/s],Wind Direction
,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUN,18.30,6.70,14.10,Wetbulb [C],0.00,0.00
,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) JUL,20.10,6.70,16.10,Wetbulb [C],0.00,0.00
,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) AUG,20.10,6.50,16.20,Wetbulb [C],0.00,0.00
,SUMMER DESIGN DAY IN 20YO_WICK (01-01:31-12) SEP,18.60,6.20,15.30,Wetbulb [C],0.00,0.00
,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),-3.40,0.00,-3.40,Wetbulb [C],3.00,260.00


Weather Statistics File

,,Value
,None,


----------------------------------------------------------------------------------------------------
REPORT:,Envelope Summary
FOR:,Entire Facility
Opaque Exterior

,,Construction,Reflectance,U-Factor with Film [W/m2-K],U-Factor no Film [W/m2-K],Gross Area [m2],Net Area [m2],Azimuth [deg],Tilt [deg],Cardinal Direction
,14126_WALL_3_0_0,7,0.30,0.661,0.733,17.57,17.19,225.00,90.00,W
,14126_WALL_4_0_0,7,0.30,0.661,0.733,12.69,11.61,135.00,90.00,S
,14126_WALL_5_0_0,7,0.30,0.661,0.733,17.57,10.85,45.00,90.00,E
,14126_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,37.44,37.44,225.00,180.00,
,14135_WALL_3_0_0,7,0.30,0.661,0.733,8.57,6.62,225.00,90.00,W
,14135_WALL_4_0_0,7,0.30,0.661,0.733,3.93,2.96,135.00,90.00,S
,14135_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,13.74,13.74,225.00,180.00,
,14144_WALL_5_0_0,7,0.30,0.661,0.733,3.89,2.92,225.00,90.00,W
,14144_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,1.30,1.30,225.00,180.00,
,14144_GROUNDFLOOR_0_0_1,1,0.40,0.253,0.264,3.10,3.10,225.00,180.00,
,14153_WALL_3_0_0,7,0.30,0.661,0.733,2.67,1.70,225.00,90.00,W
,14153_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,0.08,0.08,225.00,180.00,
,14153_GROUNDFLOOR_0_0_1,1,0.40,0.253,0.264,0.57,0.57,225.00,180.00,
,14153_GROUNDFLOOR_0_0_2,1,0.40,0.253,0.264,4.28,4.28,225.00,180.00,
,14164_WALL_2_0_0,7,0.30,0.661,0.733,12.49,11.22,315.00,90.00,N
,14164_WALL_3_0_0,7,0.30,0.661,0.733,18.59,11.63,225.00,90.00,W
,14164_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,0.03,0.03,225.00,180.00,
,14164_GROUNDFLOOR_0_0_1,1,0.40,0.253,0.264,6.46,6.46,225.00,180.00,
,14164_GROUNDFLOOR_0_0_2,1,0.40,0.253,0.264,29.80,29.80,225.00,180.00,
,14175_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,1.19,1.19,225.00,180.00,
,14175_GROUNDFLOOR_0_0_1,1,0.40,0.253,0.264,0.43,0.43,225.00,180.00,
,14175_GROUNDFLOOR_0_0_2,1,0.40,0.253,0.264,7.87,7.87,225.02,180.00,
,14175_GROUNDFLOOR_0_0_3,1,0.40,0.253,0.264,10.08,10.08,225.00,180.00,
,14175_GROUNDFLOOR_0_0_4,1,0.40,0.253,0.264,2.19,2.19,225.00,180.00,
,14175_GROUNDFLOOR_0_0_5,1,0.40,0.253,0.264,1.04,1.04,225.00,180.00,
,12358_ROOF_11_0_0,17,0.30,0.160,0.164,6.94,6.94,45.00,45.00,
,12358_ROOF_11_0_1,17,0.30,0.160,0.164,1.65,1.65,45.00,45.00,
,12358_ROOF_11_0_2,17,0.30,0.160,0.164,4.25,4.25,45.00,45.00,
,12358_ROOF_12_0_0,17,0.30,0.160,0.164,2.31,2.31,225.00,45.00,
,12358_ROOF_13_0_0,17,0.30,0.160,0.164,0.02,0.02,135.00,45.00,
,12358_ROOF_13_0_1,17,0.30,0.160,0.164,2.81,2.81,135.00,45.00,
,12358_ROOF_14_0_0,17,0.30,0.160,0.164,2.44,2.44,315.00,45.00,
,14199_WALL_5_0_0,7,0.30,0.661,0.733,3.93,3.93,135.00,90.00,S
,14199_WALL_6_0_0,7,0.30,0.661,0.733,8.57,6.63,45.00,90.00,E
,14199_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,11.64,11.64,225.00,180.00,
,14207_WALL_5_0_0,7,0.30,0.661,0.733,3.14,1.03,45.00,90.00,E
,14207_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,0.53,0.53,225.02,180.00,
,14207_GROUNDFLOOR_0_0_1,1,0.40,0.253,0.264,1.08,1.08,225.00,180.00,
,14207_GROUNDFLOOR_0_0_2,1,0.40,0.253,0.264,4.26,4.26,225.00,180.00,
,14218_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,4.80,4.80,225.00,180.00,
,14218_GROUNDFLOOR_0_0_1,1,0.40,0.253,0.264,0.21,0.21,225.00,180.00,
,14229_WALL_2_0_0,7,0.30,0.661,0.733,3.14,1.12,315.00,90.00,N
,14229_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,3.49,3.49,225.00,180.00,
,14236_WALL_2_0_0,7,0.30,0.661,0.733,4.92,3.97,315.00,90.00,N
,14236_WALL_9_0_0,7,0.30,0.661,0.733,5.86,4.90,45.00,90.00,E
,14236_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,0.72,0.72,225.00,180.00,
,14236_GROUNDFLOOR_0_0_1,1,0.40,0.253,0.264,0.76,0.76,225.00,180.00,
,14236_GROUNDFLOOR_0_0_2,1,0.40,0.253,0.264,4.61,4.61,225.00,180.00,
,14247_WALL_7_0_0,7,0.30,0.661,0.733,17.57,15.23,135.00,90.00,S
,14247_WALL_8_0_0,7,0.30,0.661,0.733,16.15,11.42,45.00,90.00,E
,14247_WALL_9_0_0,7,0.30,0.661,0.733,17.57,14.07,315.00,90.00,N
,14247_GROUNDFLOOR_0_0_0,1,0.40,0.253,0.264,49.77,49.77,225.00,180.00,
,433_WALL_4_0_0,7,0.30,0.661,0.733,8.41,8.41,135.00,90.00,S
,433_EXTFLOOR_1_0_0,21,0.30,0.251,0.264,2.16,2.16,225.00,180.00,
,433_EXTFLOOR_1_0_1,21,0.30,0.251,0.264,2.16,2.16,225.00,180.00,
,433_ROOF_0_0_0,19,0.30,2.953,4.967,29.53,29.53,225.00,45.00,
,433_ROOF_3_0_0,19,0.30,2.953,4.967,29.53,29.53,45.00,45.00,
,12212_ROOF_5_0_0,17,0.30,0.160,0.164,8.22,7.98,315.00,45.00,
,12219_WALL_3_1_0,7,0.30,0.661,0.733,4.12,4.12,135.00,90.00,S
,12219_ROOF_5_0_0,17,0.30,0.160,0.164,10.64,10.26,225.00,45.00,
,12226_WALL_1_0_0,7,0.30,0.661,0.733,1.31,1.31,315.00,90.00,N
,12226_WALL_6_0_0,7,0.30,0.661,0.733,1.24,1.24,45.00,90.00,E
,12226_EXTFLOOR_0_0_0,21,0.30,0.251,0.264,0.63,0.63,225.00,180.00,
,12226_EXTFLOOR_0_0_1,21,0.30,0.251,0.264,2.16,2.16,225.00,180.00,
,12226_ROOF_7_0_0,19,0.30,2.953,4.967,17.09,17.09,315.00,45.00,
,12226_ROOF_8_0_0,19,0.30,2.953,4.967,6.65,6.65,45.00,45.00,
,12236_WALL_8_1_0,7,0.30,0.661,0.733,0.17,0.17,135.00,90.00,S
,12236_WALL_8_1_1,7,0.30,0.661,0.733,0.21,0.21,135.00,90.00,S
,12236_WALL_8_1_2,7,0.30,0.661,0.733,0.21,0.21,135.00,90.00,S
,12236_WALL_8_1_3,7,0.30,0.661,0.733,0.17,0.17,135.00,90.00,S
,12236_WALL_8_1_4,7,0.30,0.661,0.733,0.17,0.17,135.00,90.00,S
,12236_WALL_8_1_5,7,0.30,0.661,0.733,1.34,1.34,135.00,90.00,S
,12236_WALL_8_1_6,7,0.30,0.661,0.733,0.19,0.19,135.00,90.00,S
,12236_WALL_8_1_7,7,0.30,0.661,0.733,1.14,0.00,135.00,90.00,S
,12236_WALL_11_0_0,7,0.30,0.661,0.733,10.19,9.46,45.00,90.00,E
,12236_WALL_21_0_0,7,0.30,0.661,0.733,0.69,0.69,45.00,90.00,E
,12236_WALL_22_0_0,7,0.30,0.661,0.733,0.69,0.69,225.00,90.00,W
,12236_EXTFLOOR_20_0_0,21,0.30,0.251,0.264,0.28,0.28,225.00,180.00,
,12236_EXTFLOOR_23_0_0,21,0.30,0.251,0.264,0.28,0.28,225.00,180.00,
,12236_ROOF_17_0_0,17,0.30,0.160,0.164,13.02,13.02,315.00,45.00,
,12236_ROOF_17_0_1,17,0.30,0.160,0.164,0.75,0.75,315.00,45.00,
,12236_ROOF_17_0_2,17,0.30,0.160,0.164,2.55,2.55,315.00,45.00,
,12236_ROOF_18_0_0,17,0.30,0.160,0.164,0.26,0.26,135.00,45.00,
,12236_ROOF_18_0_1,17,0.30,0.160,0.164,0.63,0.63,135.00,45.00,
,12236_ROOF_18_0_2,17,0.30,0.160,0.164,0.61,0.61,135.00,45.00,
,12236_ROOF_18_0_3,17,0.30,0.160,0.164,0.26,0.26,135.00,45.00,
,12236_ROOF_18_0_5,17,0.30,0.160,0.164,0.47,0.47,135.00,45.00,
,12236_ROOF_18_0_6,17,0.30,0.160,0.164,9.68,9.68,135.00,45.00,
,12236_ROOF_18_0_7,17,0.30,0.160,0.164,5.39,5.39,135.00,45.00,
,12236_ROOF_18_0_8,17,0.30,0.160,0.164,0.63,0.63,135.00,45.00,
,12236_ROOF_18_0_9,17,0.30,0.160,0.164,0.48,0.48,135.00,45.00,
,12236_ROOF_18_0_10,17,0.30,0.160,0.164,0.62,0.62,135.00,45.00,
,12236_ROOF_18_0_11,17,0.30,0.160,0.164,0.23,0.00,135.00,45.00,
,12236_ROOF_19_0_0,17,0.30,0.160,0.164,3.32,3.32,45.00,51.28,
,12236_ROOF_24_0_0,17,0.30,0.160,0.164,3.32,3.32,225.00,51.28,
,12262_WALL_4_0_0,7,0.30,0.661,0.733,0.12,0.12,45.00,90.00,E
,12262_WALL_4_0_1,7,0.30,0.661,0.733,0.23,0.23,45.00,90.00,E
,12262_WALL_4_0_2,7,0.30,0.661,0.733,0.15,0.15,45.00,90.00,E
,12262_WALL_4_0_3,7,0.30,0.661,0.733,0.12,0.12,45.00,90.00,E
,12262_WALL_4_0_4,7,0.30,0.661,0.733,0.12,0.12,45.00,90.00,E
,12262_WALL_4_0_5,7,0.30,0.661,0.733,1.40,1.40,45.00,90.00,E
,12262_WALL_4_0_6,7,0.30,0.661,0.733,0.14,0.14,45.00,90.00,E
,12262_WALL_4_0_7,7,0.30,0.661,0.733,1.33,0.00,45.00,90.00,E
,12262_WALL_15_0_0,7,0.30,0.661,0.733,1.24,1.24,135.00,90.00,S
,12262_WALL_18_0_0,7,0.30,0.661,0.733,1.61,1.61,45.00,90.00,E
,12262_EXTFLOOR_10_0_0,21,0.30,0.251,0.264,2.07,2.07,225.00,180.00,
,12262_EXTFLOOR_10_0_1,21,0.30,0.251,0.264,1.44,1.44,225.00,180.00,
,12262_ROOF_8_0_0,19,0.30,2.953,4.967,1.29,1.29,45.00,45.00,
,12262_ROOF_8_0_1,19,0.30,2.953,4.967,5.17,5.17,45.00,45.00,
,12262_ROOF_8_0_2,19,0.30,2.953,4.967,3.02,3.02,45.00,45.00,
,12262_ROOF_14_0_0,19,0.30,2.953,4.967,2.34,2.34,135.00,45.00,
,12262_ROOF_14_0_1,19,0.30,2.953,4.967,6.10,6.10,135.00,45.00,
,12262_ROOF_14_0_2,19,0.30,2.953,4.967,8.80,8.80,135.00,45.00,
,12286_WALL_3_0_0,7,0.30,0.661,0.733,0.69,0.69,315.00,90.00,N
,12286_WALL_11_0_0,7,0.30,0.661,0.733,0.69,0.69,135.00,90.00,S
,12286_WALL_14_1_0,7,0.30,0.661,0.733,0.49,0.49,135.00,90.00,S
,12286_WALL_14_1_1,7,0.30,0.661,0.733,5.37,5.37,135.00,90.00,S
,12286_EXTFLOOR_0_0_0,21,0.30,0.251,0.264,0.28,0.28,225.00,180.00,
,12286_EXTFLOOR_10_0_0,21,0.30,0.251,0.264,0.28,0.28,225.00,180.00,
,12286_ROOF_1_0_0,17,0.30,0.160,0.164,0.45,0.45,45.00,45.00,
,12286_ROOF_1_0_1,17,0.30,0.160,0.164,0.42,0.42,45.00,45.00,
,12286_ROOF_1_0_2,17,0.30,0.160,0.164,7.47,7.47,45.00,45.00,
,12286_ROOF_1_0_3,17,0.30,0.160,0.164,7.00,7.00,45.00,45.00,
,12286_ROOF_1_0_4,17,0.30,0.160,0.164,1.61,1.61,45.00,45.00,
,12286_ROOF_1_0_5,17,0.30,0.160,0.164,1.22,1.22,45.00,45.00,
,12286_ROOF_2_0_0,17,0.30,0.160,0.164,3.31,3.31,315.00,51.28,
,12286_ROOF_5_0_0,17,0.30,0.160,0.164,5.01,5.01,225.00,45.00,
,12286_ROOF_9_0_0,17,0.30,0.160,0.164,3.31,3.31,135.00,51.28,
,12306_ROOF_5_0_0,17,0.30,0.160,0.164,8.03,7.65,225.00,45.00,
,12313_WALL_14_0_0,7,0.30,0.661,0.733,1.16,1.16,315.00,90.00,N
,12313_WALL_16_0_0,7,0.30,0.661,0.733,1.16,1.16,135.00,90.00,S
,12313_WALL_17_0_0,7,0.30,0.661,0.733,0.16,0.16,225.00,90.00,W
,12313_WALL_17_0_1,7,0.30,0.661,0.733,0.25,0.25,225.00,90.00,W
,12313_WALL_17_0_2,7,0.30,0.661,0.733,0.22,0.22,225.00,90.00,W
,12313_WALL_17_0_3,7,0.30,0.661,0.733,0.16,0.16,225.00,90.00,W
,12313_WALL_17_0_4,7,0.30,0.661,0.733,0.16,0.16,225.00,90.00,W
,12313_WALL_17_0_5,7,0.30,0.661,0.733,1.34,1.34,225.00,90.00,W
,12313_WALL_17_0_6,7,0.30,0.661,0.733,0.20,0.20,225.00,90.00,W
,12313_WALL_17_0_7,7,0.30,0.661,0.733,1.11,0.00,225.00,90.00,W
,12313_EXTFLOOR_11_0_0,21,0.30,0.251,0.264,0.36,0.36,225.00,180.00,
,12313_EXTFLOOR_13_0_0,21,0.30,0.251,0.264,0.36,0.36,225.00,180.00,
,12313_EXTFLOOR_15_0_0,21,0.30,0.251,0.264,0.63,0.63,225.00,180.00,
,12313_ROOF_9_0_0,17,0.30,0.160,0.164,0.40,0.40,225.00,45.00,
,12313_ROOF_9_0_1,17,0.30,0.160,0.164,1.01,1.01,225.00,45.00,
,12313_ROOF_9_0_2,17,0.30,0.160,0.164,0.56,0.56,225.00,45.00,
,12313_ROOF_9_0_3,17,0.30,0.160,0.164,0.52,0.52,225.00,45.00,
,12313_ROOF_9_0_4,17,0.30,0.160,0.164,7.73,7.73,225.00,45.00,
,12313_ROOF_9_0_5,17,0.30,0.160,0.164,2.10,2.10,225.00,45.00,
,12313_ROOF_10_0_0,17,0.30,0.160,0.164,4.05,4.05,135.00,52.17,
,12313_ROOF_12_0_0,17,0.30,0.160,0.164,4.05,4.05,315.00,52.17,
,12332_WALL_2_0_0,7,0.30,0.661,0.733,0.71,0.71,315.00,90.00,N
,12332_WALL_10_0_0,7,0.30,0.661,0.733,0.71,0.71,135.00,90.00,S
,12332_EXTFLOOR_1_0_0,21,0.30,0.251,0.264,4.15,4.15,225.00,180.00,
,12332_ROOF_0_0_0,19,0.30,2.953,4.967,3.99,3.99,225.00,45.00,
,12332_ROOF_0_0_1,19,0.30,2.953,4.967,6.49,6.49,225.00,45.00,
,12332_ROOF_0_0_2,19,0.30,2.953,4.967,11.10,11.10,225.00,45.00,
,12344_WALL_1_0_0,7,0.30,0.661,0.733,18.32,16.17,315.00,90.00,N
,12344_ROOF_10_0_0,17,0.30,0.160,0.164,3.77,3.77,225.00,45.00,
,12344_ROOF_10_0_1,17,0.30,0.160,0.164,19.37,19.37,225.00,45.00,
,12344_ROOF_11_0_0,17,0.30,0.160,0.164,3.78,3.78,45.00,45.00,
,12344_ROOF_11_0_1,17,0.30,0.160,0.164,13.72,13.72,45.00,45.00,
,12344_ROOF_12_0_0,17,0.30,0.160,0.164,0.36,0.36,315.00,45.00,


Opaque Interior

,,Construction,Reflectance,U-Factor with Film [W/m2-K],U-Factor no Film [W/m2-K],Gross Area [m2],Net Area [m2],Azimuth [deg],Tilt [deg],Cardinal Direction
,14126_PARTITION_2_0_0,6,0.50,0.342,0.372,5.62,5.62,315.00,90.00,N
,14126_PARTITION_6_0_0,6,0.50,0.342,0.372,4.15,4.15,315.00,90.00,N
,14126_PARTITION_7_0_0,6,0.50,0.342,0.372,2.92,2.92,315.00,90.00,N
,14126_CEILING_1_0_0,3,0.40,2.934,14.000,37.44,37.44,45.00,0.00,
,14135_PARTITION_5_0_10001,5,0.30,0.342,0.372,5.62,5.62,135.00,90.00,S
,14135_PARTITION_2_0_0,13,0.50,1.696,2.857,7.61,7.61,315.00,90.00,N
,14135_PARTITION_6_0_0,13,0.50,1.696,2.857,8.57,8.57,45.00,90.00,E
,14135_PARTITION_7_0_0,13,0.50,1.696,2.857,1.94,1.94,315.00,90.00,N
,14135_CEILING_1_0_0,3,0.40,2.934,14.000,7.52,7.52,45.00,0.00,
,14135_CEILING_1_1_0,3,0.40,2.934,14.000,1.42,1.42,45.00,0.00,
,14135_CEILING_1_2_0,3,0.40,2.934,14.000,1.66,1.66,45.00,0.00,
,14135_CEILING_1_3_0,11,0.22,0.242,0.259,3.13,3.13,45.00,0.00,
,14144_PARTITION_6_0_10008,14,0.50,1.696,2.857,7.61,7.61,135.00,90.00,S
,14144_PARTITION_2_0_0,13,0.50,1.696,2.857,2.31,2.31,315.00,90.00,N
,14144_PARTITION_3_0_0,13,0.50,1.696,2.857,1.46,1.46,45.00,90.00,E
,14144_PARTITION_4_0_0,13,0.50,1.696,2.857,5.30,5.30,315.00,90.00,N
,14144_PARTITION_7_0_0,13,0.50,1.696,2.857,2.43,2.43,45.00,90.00,E
,14144_CEILING_1_0_0,3,0.40,2.934,14.000,0.94,0.94,45.00,0.00,
,14144_CEILING_1_0_1,3,0.40,2.934,14.000,1.96,1.96,45.00,0.00,
,14144_CEILING_1_1_0,3,0.40,2.934,14.000,0.11,0.11,45.00,0.00,
,14144_CEILING_1_2_0,11,0.22,0.242,0.259,0.86,0.86,45.00,0.00,
,14144_CEILING_1_2_1,11,0.22,0.242,0.259,0.53,0.53,45.00,0.00,
,14153_PARTITION_6_0_10016,14,0.50,1.696,2.857,2.31,2.31,135.00,90.00,S
,14153_PARTITION_5_0_10017,14,0.50,1.696,2.857,1.46,1.46,225.00,90.00,W
,14153_PARTITION_4_0_10018,14,0.50,1.696,2.857,5.30,5.30,135.00,90.00,S
,14153_PARTITION_2_0_0,14,0.50,1.696,2.857,9.55,9.55,315.00,90.00,N
,14153_PARTITION_7_0_0,13,0.50,1.696,2.857,1.23,1.23,45.00,90.00,E
,14153_PARTITION_8_0_0,13,0.50,1.696,2.857,1.94,1.94,135.00,90.00,S
,14153_PARTITION_9_0_0,13,0.50,1.696,2.857,2.90,2.90,45.00,90.00,E
,14153_CEILING_1_0_0,3,0.40,2.934,14.000,0.01,0.01,45.00,0.00,
,14153_CEILING_1_1_0,3,0.40,2.934,14.000,0.48,0.48,45.00,0.00,
,14153_CEILING_1_1_1,3,0.40,2.934,14.000,0.05,0.05,45.00,0.00,
,14153_CEILING_1_2_0,3,0.40,2.934,14.000,2.01,2.01,45.00,0.00,
,14153_CEILING_1_2_1,3,0.40,2.934,14.000,1.95,1.95,45.00,0.00,
,14153_CEILING_1_3_0,11,0.22,0.242,0.259,0.37,0.37,45.00,0.00,
,14153_CEILING_1_4_0,3,0.40,2.934,14.000,0.06,0.06,45.00,0.00,
,14164_PARTITION_4_0_10027,13,0.50,1.696,2.857,9.55,9.55,135.00,90.00,S
